id,percent_disorder,num_disorder_segments
A0A1G0AW29_195_3,0.18936170212765957,10
A0A1G0AW29_196_3,0.21063829787234042,16
A0A832ANL8_197_3,0.0985576923076923,9
A0A832ANL8_198_3,0.06971153846153846,9
A0A832ANL8_199_3,0.07692307692307693,4
F2ZCF1_200_3,0.027777777777777776,4
F2ZCF1_201_3,0.09090909090909091,9
A0A2M7EME9_202_3,0.16559139784946236,10
A0A3S9PWU7_203_3,0.17926565874730022,9
A0A1G0AW29_204_3,0.14680851063829786,9
A0A1G0AW29_205_3,0.14468085106382977,7
A0A1G0AW29_206_3,0.16595744680851063,12
A0A075IPP2_207_3,0.02756892230576441,4
A0A1G0AW29_208_3,0.1829787234042553,14
A0A1G0AW29_209_3,0.12340425531914893,4
A0A075IPP2_210_3,0.03508771929824561,6
A0A075IPP2_211_3,0.12531328320802004,9
A0A2K8L348_212_3,0.17659574468085107,11
D9SHP6_213_3,0.21063829787234042,7
A0A1G0AW29_214_3,0.20425531914893616,10
D9SHP6_215_3,0.16808510638297872,12
D9SHP6_216_3,0.1829787234042553,8
D9SHP6_217_3,0.18085106382978725,12
A0A2K8L348_218_3,0.13191489361702127,9
A0A075IPP2_219_3,0.05012531328320802,6
A0A1G0AW29_220_3,0.21063829787234042,14
A0A1G0AW29_221_3,0.1723404255319149,11
A0A1G0AW29_222_3,0.18723404255319148,13
A0A1G0AW29_223_3,0.17872340425531916,12
A0A1G0AW29_224_3,0.2276595744680851,14
A0A075IPP2_225_3,0.022556390977443608,4
A0A075IPP2_226_3,0.06766917293233082,8
A0A075IPP2_227_3,0.05764411027568922,11
A0A075IPP2_228_3,0.06766917293233082,9
A0A1G0AW29_229_3,0.17872340425531916,12
A0A1G0AW29_230_3,0.18085106382978725,8
A0A1G0AW29_231_3,0.13404255319148936,7
A0A2K8L348_232_3,0.2170212765957447,14
D9SHP6_233_3,0.14468085106382977,9
D9SHP6_234_3,0.16808510638297872,10
D9SHP6_235_3,0.274468085106383,16
D9SHP6_236_3,0.20425531914893616,17
A0A075IPP2_237_3,0.14035087719298245,16
A0A2K8L348_238_3,0.16808510638297872,14
A0A2K8L348_239_3,0.19574468085106383,14
A0A2K8L348_240_3,0.23404255319148937,11
A0A1G0AW29_241_3,0.14893617021276595,12
A0A1G0AW29_242_3,0.13829787234042554,11
A0A1G0AW29_243_3,0.2148936170212766,13
A0A1G0AW29_244_3,0.17446808510638298,10
A0A1G0AW29_245_3,0.17872340425531916,9
A0A1G0AW29_246_3,0.18936170212765957,14
A0A1G0AW29_247_3,0.19787234042553192,15
A0A1G0AW29_248_3,0.16382978723404254,6
A0A1G0AW29_249_3,0.15319148936170213,12
A0A075IPP2_250_3,0.07518796992481203,9
D9SHP6_251_3,0.14680851063829786,11
D9SHP6_252_3,0.15531914893617021,15
A0A1G0AW29_253_3,0.1595744680851064,12
A0A1G0AW29_254_3,0.20851063829787234,15
A0A1G0AW29_255_3,0.13617021276595745,7
A0A1G0AW29_256_3,0.13191489361702127,8
A0A1G0AW29_257_3,0.15106382978723404,7
A0A1G0AW29_258_3,0.19574468085106383,8
A0A1G0AW29_259_3,0.20212765957446807,16
A0A1G0AW29_260_3,0.17872340425531916,11
A0A075IPP2_261_3,0.07017543859649122,9
A0A075IPP2_262_3,0.03007518796992481,4
A0A075IPP2_263_3,0.02506265664160401,3
A0A2K8L348_264_3,0.09787234042553192,6
A0A075IPP2_265_3,0.015037593984962405,6
A0A2K8L348_266_3,0.13191489361702127,12
A0A075IPP2_267_3,0.12280701754385964,16
